Gene,2.5nM_DFB_A,2.5nM_DFB_B,2.5nM_Fe_A,2.5nM_Fe_B
Ga0401699_0000022_152_57865_cytoskeletal_protein_binding,798.8294315,605.0911337,37.1957548,57.6145045
Ga0401699_0000023_156_57680_cytoskeletal_protein_binding,1797.153992,1607.104794,174.5339264,285.4927686
Ga0401699_0000046_892_48153_cytoskeletal_protein_binding,95.07852957,250.2337665,13.59075656,3.43967191
Ga0401699_0000066_3_41480_cytoskeletal_protein_binding,1209.704506,1124.973356,102.2883257,101.4703214
Ga0401699_0000070_459_40640_semaphorin-plexin_signaling_pathway,304.7606439,253.469548,2.861211908,1.719835955
Ga0401699_0000079_22183_23112_rRNA_binding,11.03590075,15.1003135,327.6087634,348.2667809
Ga0401699_0000079_30921_31220_One_of_the_early_assembly_proteins_it_binds_23S_rRNA._One_of_the_proteins_that_surrounds_the_polypeptide_exit_tunnel_on_the_outside_of_the_ribosome._Forms_the_main_docking_site_for_trigger_factor_binding_to_the_ribosome,21.22288607,14.02171968,265.3774044,271.7340809
Ga0401699_0000132_10320_10658_Located_at_the_top_of_the_head_of_the_30S_subunit__it_contacts_several_helices_of_the_16S_rRNA._In_the_70S_ribosome_it_contacts_the_23S_rRNA_bridge_B1a_and_protein_L5_of_the_50S_subunit_bridge_B1b__connecting_the_2_subunits,26.31637872,59.32266017,5.722423815,5.159507865
Ga0401699_0000132_11313_13352_NADH-Ubiquinone_oxidoreductase_complex_I__chain_5_N-terminus,286.9334196,684.9070765,65.0925709,50.73516068
Ga0401699_0000132_13565_15091_Belongs_to_the_complex_I_75_kDa_subunit_family,271.6529416,366.7218992,42.20287564,33.53680113
Ga0401699_0000132_15195_15623_Belongs_to_the_complex_I_75_kDa_subunit_family,48.38818023,50.6939096,7.153029769,2.579753933
Ga0401699_0000132_15632_16765_NDH-1_shuttles_electrons_from_NADH__via_FMN_and_iron-_sulfur_Fe-S_centers__to_quinones_in_the_respiratory_chain._The_immediate_electron_acceptor_for_the_enzyme_in_this_species_is_believed_to_be_ubiquinone._Couples_the_redox_reaction_to_proton_translocation_for_every_two_electrons_transferred__four_hydrogen_ions_are_translocated_across_the_cytoplasmic_membrane__and_thus_conserves_the_redox_energy_in_a_proton_gradient._This_subunit_may_bind_ubiquinone,129.0351473,228.6618901,23.60499824,21.49794944
Ga0401699_0000132_17658_18032_Binds_to_23S_rRNA._Forms_part_of_two_intersubunit_bridges_in_the_70S_ribosome,39.05011036,64.71562927,7.153029769,6.879343821
Ga0401699_0000132_2135_2890_One_of_the_primary_rRNA_binding_proteins._Required_for_association_of_the_30S_and_50S_subunits_to_form_the_70S_ribosome__for_tRNA_binding_and_peptide_bond_formation._It_has_been_suggested_to_have_peptidyltransferase_activity,47.53926479,56.0868787,6.437726792,2.579753933
