gene_anno,DFB_A,DFB_B,Fe_A,Fe_B
scaffold_10018_c1_9_PF01475-Iron_dependent_repressor-fur_family,0.000454553,0.000451426,0.000780613,0.000538875
scaffold_100349_c1_2_PF04773_FecR,0.000147633,0.0001389,0.00011303,0.000140937
scaffold_10040_c1_3_PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain,0.000234105,9.96E-05,0.000539197,0.000782641
scaffold_1004776_c1_3_PF00210-Ferritin_like_domain,0.000251576,0.000554853,0.002412017,0.003831097
scaffold_10058_c1_3_PF04773_FecR,0.000143813,0.000134444,9.81E-05,7.95E-05
scaffold_100690_c1_1_ExbB-family,5.18E-05,0.000231336,0.000200015,0.000358994
scaffold_1007440_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.000959302,0.000227889,0.000243396,0.000285637
scaffold_1008052_c1_2_PF01475-Iron_dependent_repressor-fur_family,0.00057721,0.00033166,0.000839651,0.000246343
scaffold_10081_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0,0.000145861,0.000259643,8.13E-05
scaffold_1010191_c1_1_PF00210-Ferritin_like_domain,0.001038978,0.000884427,5.25E-05,3.08E-05
scaffold_101273_c1_1_PF00210-Ferritin_like_domain,0,0.000213482,0.000152006,0.000356772
scaffold_10143_c1_9_PF01475-Iron_dependent_repressor-fur_family,0.000922281,0.001312221,0.000982255,0.000927802
scaffold_1015445_c1_1_PF00210-Ferritin_like_domain,0,6.27E-05,0.000424435,0.000576742
scaffold_10173_c1_5_ExbD-family,0.00027759,0.000354446,0.000429039,0.000473881
scaffold_10173_c1_6_ExbB-family,0.000365164,0.000427412,0.000331996,0.000438315
scaffold_102004_c1_2_ExbB-family,0.010307111,0.01388979,0.010984872,0.013183318
scaffold_102004_c1_3_ExbB-family,0.003615644,0.005200433,0.003835107,0.005298836
scaffold_102089_c1_2_PF04773_FecR,6.44E-05,0.000246544,0.000497382,0.000274683
scaffold_10211_c1_5_PF01475-Iron_dependent_repressor-fur_family,0.001974059,0.001260309,0.002432364,0.002217086
scaffold_1023010_c1_1_PF04773_FecR,0.000556595,0.00056856,0.000118076,0.000574067
scaffold_102368_c1_1_PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain,0.001328374,0.002735061,0.002943811,0.003242109
scaffold_1024406_c1_3_PF00210-Ferritin_like_domain,0,0.00030955,0.000242449,0.00025866
scaffold_102522_c1_1_PF01475-Iron_dependent_repressor-fur_family,0.000519489,0.000279293,0.000198865,0.000116689
scaffold_1029_c1_2_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.002798714,0.006344956,0.002406029,0.003900214
scaffold_103029_c1_3_PF01475-Iron_dependent_repressor-fur_family,0.000199256,0.00031803,0.000520828,0.000186023
scaffold_103137_c1_2_PirA-family-siderophore-receptor,0.000536522,0.000373674,0.000551842,0.000676525
scaffold_1033_c1_18_PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain,0.000378451,0.000210102,0.000179518,0.000105337
scaffold_1033_c1_8_ExbD-family,0.000588245,0.00023899,9.72E-05,0.000114115
scaffold_1033_c1_9_ExbB-family,0.000384807,0.000245674,0.000209913,0.000205286
scaffold_103399_c1_5_Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,4.95E-05,0,0.000112453,2.64E-05
scaffold_1034209_c1_1_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.000166047,0.000572455,0.00025664,0.000372045
scaffold_1037765_c1_3_Sid_PvdS_regulator_Paeruginosa_PA2426_180620,0.00145457,0.003976522,0.002610992,0.002904951
scaffold_10439_c1_4_ExbB-family,0.00036914,0.000351001,0.000585534,0.000653633
scaffold_10439_c1_5_ExbB-family,0.000410895,0.000288563,7.47E-05,0.000131522
scaffold_10439_c1_6_ExbD-family,0.000132716,0.000237246,0.000193058,0.000198243
scaffold_10439_c1_7_TonB-family,4.66E-05,7.94E-05,0.000127159,0.000348196
scaffold_1044108_c1_2_ExbB-family,0.00111517,0.001692204,0.002071839,0.0017244
