geneID,DFB,DFB,Fe,Fe
Ga0401699_0000022_152_57865,941,561,52,67
Ga0401699_0000023_156_57680,2117,1490,244,332
Ga0401699_0000046_892_48153,112,232,19,4
Ga0401699_0000066_3_41480,1425,1043,143,118
Ga0401699_0000070_459_40640,359,235,4,2
Ga0401699_0000079_22183_23112,13,14,458,405
Ga0401699_0000079_30921_31220,25,13,371,316
Ga0401699_0000132_10320_10658,31,55,8,6
Ga0401699_0000132_11313_13352,338,635,91,59
Ga0401699_0000132_13565_15091,320,340,59,39
Ga0401699_0000132_15195_15623,57,47,10,3
Ga0401699_0000132_15632_16765,152,212,33,25
Ga0401699_0000132_17658_18032,46,60,10,8
Ga0401699_0000132_2135_2890,56,52,9,3
Ga0401699_0000132_21516_23024,62,85,18,10
Ga0401699_0000132_24171_25616,124,184,30,18
Ga0401699_0000132_26096_27142,77,124,11,8
Ga0401699_0000132_27239_27631,44,57,10,7
Ga0401699_0000132_27812_28399,30,50,4,1
Ga0401699_0000132_29659_30054,39,45,9,7
Ga0401699_0000132_4185_4589,77,64,12,10
Ga0401699_0000132_5021_6052,519,698,97,64
Ga0401699_0000132_6270_7775,713,978,141,92
Ga0401699_0000132_7803_8165,109,143,24,13
Ga0401699_0000132_8266_9450,321,391,56,49
Ga0401699_0000132_852_2000,200,317,36,32
Ga0401699_0000132_9477_10283,230,266,41,19
Ga0401699_0000160_68_32098,266,203,35,45
Ga0401699_0000165_5_32029,346,139,0,3
Ga0401699_0000181_167_30862,201,140,28,19
Ga0401699_0000209_2_29419,413,307,78,80
Ga0401699_0000216_234_28892,157,167,16,8
Ga0401699_0000238_263_28306,633,540,76,122
Ga0401699_0000245_86_27754,182,104,3,5
Ga0401699_0000262_198_27458,1254,972,73,78
Ga0401699_0000290_1_26535,531,310,9,6
Ga0401699_0000319_7729_9459,44,43,242,174
Ga0401699_0000333_867_25181,193,142,21,31
Ga0401699_0000350_314_25021,341,246,34,44
Ga0401699_0000375_23479_24477,469,163,2,3
Ga0401699_0000380_14_24028,196,138,23,16
Ga0401699_0000400_10051_10470,41,44,526,325
Ga0401699_0000400_11730_12008,32,27,251,191
Ga0401699_0000400_4722_5192,21,31,486,454
Ga0401699_0000400_5919_6251,14,19,387,276
Ga0401699_0000400_6364_6783,28,52,469,345
Ga0401699_0000400_6823_7740,51,72,964,677
Ga0401699_0000400_7891_8286,32,32,437,350
Ga0401699_0000400_8528_8932,36,60,592,445
Ga0401699_0000400_8980_9534,50,72,756,580
Ga0401699_0000400_9563_9931,21,32,340,278
Ga0401699_0000417_235_23499,351,305,77,71
Ga0401699_0000420_290_23452,256,216,55,17
Ga0401699_0000432_16938_17624,99,171,972,706
Ga0401699_0000432_17765_18301,64,127,632,455
Ga0401699_0000432_18397_19302,136,149,741,672
Ga0401699_0000448_197_22789,177,66,1,1
Ga0401699_0000451_2531_5971,8,5,125,78
Ga0401699_0000457_17498_20746,25,40,129,76
Ga0401699_0000457_2474_3145,44,52,317,237
Ga0401699_0000476_106_3894,28,24,2,4
Ga0401699_0000476_3944_22351,133,104,17,16
Ga0401699_0000500_2409_2789,2,9,85,67
Ga0401699_0000518_2_21568,134,93,0,1
Ga0401699_0000521_26_21778,111,66,1,1
Ga0401699_0000534_2_21496,211,113,18,19
Ga0401699_0000540_115_10512,47,18,3,4
Ga0401699_0000560_11272_13419,29,61,137,121
Ga0401699_0000582_11_20518,495,320,53,44
Ga0401699_0000589_17_20803,181,90,9,20
Ga0401699_0000594_1139_20674,157,119,21,9
Ga0401699_0000678_159_19598,63,31,7,0
Ga0401699_0000690_16281_16772,51,58,340,261
Ga0401699_0000690_2854_3267,10,14,206,122
Ga0401699_0000690_5457_6719,43,39,489,427
Ga0401699_0000690_7240_7782,27,13,303,225
Ga0401699_0000733_13_18981,191,94,12,8
Ga0401699_0000801_126_18653,158,111,2,9
Ga0401699_0000848_19_18303,132,67,0,0
Ga0401699_0000879_11061_18158,25,34,3,3
Ga0401699_0000887_31_17871,241,150,36,15
Ga0401699_0000909_2820_17780,81,69,9,12
Ga0401699_0000940_16881_17798,21,13,177,104
Ga0401699_0000970_1_17592,174,94,4,4
Ga0401699_0000979_2_17629,103,82,5,10
Ga0401699_0001063_2_16960,146,92,25,17
Ga0401699_0001072_2_12127,280,114,2,0
Ga0401699_0001095_3_16931,255,98,0,1
Ga0401699_0001104_16105_16833,8,21,69,88
Ga0401699_0001105_332_16870,116,65,19,6
Ga0401699_0001140_1387_1872,27,27,135,162
Ga0401699_0001140_15463_16515,69,126,304,296
Ga0401699_0001140_5406_6053,446,636,1314,1204
Ga0401699_0001140_6109_6591,223,296,678,584
Ga0401699_0001140_768_1283,50,52,296,257
Ga0401699_0001140_9066_9785,56,120,711,501
Ga0401699_0001140_9968_10906,29,60,324,212
Ga0401699_0001176_12126_12743,68,39,7,8
Ga0401699_0001176_12809_14890,200,187,23,13
Ga0401699_0001176_14905_15918,75,74,10,10
Ga0401699_0001176_2295_2690,19,10,1,1
Ga0401699_0001176_465_1139,20,23,1,3
Ga0401699_0001176_6012_6551,46,42,6,0
Ga0401699_0001176_9956_11971,194,189,25,11
Ga0401699_0001187_274_16422,61,53,5,4
Ga0401699_0001189_14036_14590,17,18,115,85
Ga0401699_0001253_13551_14375,23,4,83,81
Ga0401699_0001253_15389_16027,20,6,75,105
Ga0401699_0001253_5942_7198,29,9,79,96
Ga0401699_0001253_609_1838,76,35,212,249
Ga0401699_0001267_4860_6725,1701,1136,12407,7751
Ga0401699_0001323_782_1192,0,0,72,47
Ga0401699_0001374_9818_10243,631,628,1033,321
Ga0401699_0001472_257_15277,161,140,37,21
Ga0401699_0001473_1_5406,140,40,0,0
Ga0401699_0001511_13117_13863,105,144,583,409
Ga0401699_0001524_6173_6754,148,118,1333,1246
Ga0401699_0001525_5007_7499,86,53,29,24
Ga0401699_0001548_35_15088,60,33,21,20
Ga0401699_0001630_236_14773,86,64,2,7
Ga0401699_0001635_9211_13815,7,7,86,80
Ga0401699_0001637_97_14304,163,145,24,27
