Gene,2.5nM_DFB_A,2.5nM_DFB_B,2.5nM_Fe_A,2.5nM_Fe_B
Ga0401699_0000022_152_57865,798.8294315,605.0911337,37.1957548,57.6145045
Ga0401699_0000023_156_57680,1797.153992,1607.104794,174.5339264,285.4927686
Ga0401699_0000046_892_48153,95.07852957,250.2337665,13.59075656,3.43967191
Ga0401699_0000066_3_41480,1209.704506,1124.973356,102.2883257,101.4703214
Ga0401699_0000070_459_40640,304.7606439,253.469548,2.861211908,1.719835955
Ga0401699_0000079_22183_23112,11.03590075,15.1003135,327.6087634,348.2667809
Ga0401699_0000079_30921_31220,21.22288607,14.02171968,265.3774044,271.7340809
Ga0401699_0000132_10320_10658,26.31637872,59.32266017,5.722423815,5.159507865
Ga0401699_0000132_11313_13352,286.9334196,684.9070765,65.0925709,50.73516068
Ga0401699_0000132_13565_15091,271.6529416,366.7218992,42.20287564,33.53680113
Ga0401699_0000132_15195_15623,48.38818023,50.6939096,7.153029769,2.579753933
Ga0401699_0000132_15632_16765,129.0351473,228.6618901,23.60499824,21.49794944
Ga0401699_0000132_17658_18032,39.05011036,64.71562927,7.153029769,6.879343821
Ga0401699_0000132_2135_2890,47.53926479,56.0868787,6.437726792,2.579753933
Ga0401699_0000132_21516_23024,52.63275744,91.68047481,12.87545358,8.599179776
Ga0401699_0000132_24171_25616,105.2655149,198.4612631,21.45908931,15.4785236
Ga0401699_0000132_26096_27142,65.36648908,133.7456338,7.868332746,6.879343821
Ga0401699_0000132_27239_27631,37.35227948,61.47984781,7.153029769,6.019425843
Ga0401699_0000132_27812_28399,25.46746328,53.92969106,2.861211908,0.859917978
Ga0401699_0000132_29659_30054,33.10770226,48.53672196,6.437726792,6.019425843
Ga0401699_0000132_4185_4589,65.36648908,69.03000456,8.583635723,8.599179776
Ga0401699_0000132_5021_6052,440.5871147,752.8584872,69.38438876,55.03475057
Ga0401699_0000132_6270_7775,605.2767106,1054.864757,100.8577197,79.11245394
Ga0401699_0000132_7803_8165,92.53178325,154.2389164,17.16727145,11.17893371
Ga0401699_0000132_8266_9450,272.5018571,421.7301841,40.05696671,42.1359809
Ga0401699_0000132_852_2000,169.7830885,341.9142413,25.75090717,27.51737528
Ga0401699_0000132_9477_10283,195.2505518,286.9059564,29.32742205,16.33844157
Ga0401699_0000160_68_32098,225.8115077,218.9545457,25.03560419,38.69630899
Ga0401699_0000165_5_32029,293.7247431,149.9245412,0,2.579753933
Ga0401699_0000181_167_30862,170.632004,151.003135,20.02848335,16.33844157
Ga0401699_0000209_2_29419,350.6020778,331.1283031,55.7936322,68.79343821
Ga0401699_0000216_234_28892,133.2797245,180.1251681,11.44484763,6.879343821
Ga0401699_0000238_263_28306,537.3634752,582.4406635,54.36302624,104.9099933
Ga0401699_0000245_86_27754,154.5026106,112.1737574,2.145908931,4.299589888
Ga0401699_0000262_198_27458,1064.539965,1048.393194,52.21711731,67.07360225
Ga0401699_0000290_1_26535,450.7741,334.3640846,6.437726792,5.159507865
Ga0401699_0000319_7729_9459,37.35227948,46.37953431,173.1033204,149.6257281
Ga0401699_0000333_867_25181,163.8406804,153.1603226,15.02136251,26.65745731
Ga0401699_0000350_314_25021,289.4801659,265.33408,24.32030121,37.83639101
Ga0401699_0000375_23479_24477,398.1413426,175.8107929,1.430605954,2.579753933
Ga0401699_0000380_14_24028,166.3874268,148.8459473,16.45196847,13.75868764
Ga0401699_0000400_10051_10470,34.80553315,47.45812813,376.2493658,279.4733427
Ga0401699_0000400_11730_12008,27.16529416,29.12203317,179.5410472,164.2443337
Ga0401699_0000400_4722_5192,17.8272243,33.43640846,347.6372468,390.4027618
Ga0401699_0000400_5919_6251,11.8848162,20.4932826,276.8222521,237.3373618
Ga0401699_0000400_6364_6783,23.76963239,56.0868787,335.4770962,296.6717023
Ga0401699_0000400_6823_7740,43.29468757,77.65875513,689.5520697,582.1644708
Ga0401699_0000400_7891_8286,27.16529416,34.51500228,312.5874009,300.9712922
