Gene,DFB_A,DFB_B,control,Fe_A,Fe_B
Ga0401699_0000022_152_57865_cytoskeletal protein binding,798.8294315,605.0911337,578.6844159,37.1957548,57.6145045
Ga0401699_0000023_156_57680_cytoskeletal protein binding,1797.153992,1607.104794,1321.299557,174.5339264,285.4927686
Ga0401699_0000046_892_48153_cytoskeletal protein binding,95.07852957,250.2337665,388.7755983,13.59075656,3.43967191
Ga0401699_0000066_3_41480_cytoskeletal protein binding,1209.704506,1124.973356,1948.356973,102.2883257,101.4703214
Ga0401699_0000070_459_40640_semaphorin-plexin signaling pathway,304.7606439,253.469548,275.9052633,2.861211908,1.719835955
Ga0401699_0000079_22183_23112_rRNA binding,11.03590075,15.1003135,117.3493165,327.6087634,348.2667809
Ga0401699_0000079_30921_31220_One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome,21.22288607,14.02171968,91.37122357,265.3774044,271.7340809
Ga0401699_0000132_10320_10658_Located at the top of the head of the 30S subunit_ it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA bridge B1a and protein L5 of the 50S subunit bridge B1b_ connecting the 2 subunits,26.31637872,59.32266017,80.62166786,5.722423815,5.159507865
Ga0401699_0000132_11313_13352_NADH-Ubiquinone oxidoreductase complex I_ chain 5 N-terminus,286.9334196,684.9070765,714.845455,65.0925709,50.73516068
Ga0401699_0000132_13565_15091_Belongs to the complex I 75 kDa subunit family,271.6529416,366.7218992,490.8963776,42.20287564,33.53680113
Ga0401699_0000132_15195_15623_Belongs to the complex I 75 kDa subunit family,48.38818023,50.6939096,99.43339035,7.153029769,2.579753933
Ga0401699_0000132_15632_16765_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone,129.0351473,228.6618901,268.7388929,23.60499824,21.49794944
Ga0401699_0000132_17658_18032_Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,39.05011036,64.71562927,82.41326047,7.153029769,6.879343821
Ga0401699_0000132_2135_2890_One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome_ for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity,47.53926479,56.0868787,102.1207793,6.437726792,2.579753933
Ga0401699_0000132_21516_23024_electron transport coupled proton transport,52.63275744,91.68047481,118.2451129,12.87545358,8.599179776
Ga0401699_0000132_24171_25616_NADH dehydrogenase quinone activity,105.2655149,198.4612631,262.4683187,21.45908931,15.4785236
Ga0401699_0000132_26096_27142_ATP synthesis coupled electron transport,65.36648908,133.7456338,163.0349283,7.868332746,6.879343821
Ga0401699_0000132_27239_27631_Involved in the binding of tRNA to the ribosomes,37.35227948,61.47984781,93.16281619,7.153029769,6.019425843
Ga0401699_0000132_27812_28399_Respiratory-chain NADH dehydrogenase_ 30 Kd subunit,25.46746328,53.92969106,81.51746416,2.861211908,0.859917978
Ga0401699_0000132_29659_30054_One of the primary rRNA binding proteins_ it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit,33.10770226,48.53672196,77.03848262,6.437726792,6.019425843
Ga0401699_0000132_4185_4589_Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs,65.36648908,69.03000456,137.9526317,8.583635723,8.599179776
Ga0401699_0000132_5021_6052_Cytochrome C oxidase subunit II_ periplasmic domain,440.5871147,752.8584872,968.3558106,69.38438876,55.03475057
Ga0401699_0000132_6270_7775_Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B,605.2767106,1054.864757,1281.884519,100.8577197,79.11245394
Ga0401699_0000132_7803_8165_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient,92.53178325,154.2389164,154.0769652,17.16727145,11.17893371
Ga0401699_0000132_8266_9450_Belongs to the complex I 49 kDa subunit family,272.5018571,421.7301841,612.7246757,40.05696671,42.1359809
Ga0401699_0000132_852_2000_Component of the ubiquinol-cytochrome c reductase complex complex III or cytochrome b-c1 complex that is part of the mitochondrial respiratory chain. The b-c1 complex mediates electron transfer from ubiquinol to cytochrome c. Contributes to the generation of a proton gradient across the mitochondrial membrane that is then used for ATP synthesis,169.7830885,341.9142413,362.7975053,25.75090717,27.51737528
Ga0401699_0000132_9477_10283_Subunits I_ II and III form the functional core of the enzyme complex,195.2505518,286.9059564,316.2160973,29.32742205,16.33844157
Ga0401699_0000160_68_32098_extracellular matrix structural constituent,225.8115077,218.9545457,197.9709844,25.03560419,38.69630899
Ga0401699_0000165_5_32029_cytoskeletal protein binding,293.7247431,149.9245412,172.8886877,0,2.579753933
Ga0401699_0000181_167_30862_semaphorin-plexin signaling pathway,170.632004,151.003135,227.5322626,20.02848335,16.33844157
Ga0401699_0000209_2_29419_extracellular matrix structural constituent,350.6020778,331.1283031,309.9455231,55.7936322,68.79343821
Ga0401699_0000216_234_28892_semaphorin-plexin signaling pathway,133.2797245,180.1251681,295.6127821,11.44484763,6.879343821
Ga0401699_0000238_263_28306_Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine UMA,537.3634752,582.4406635,499.8543407,54.36302624,104.9099933
Ga0401699_0000245_86_27754_,154.5026106,112.1737574,177.3676693,2.145908931,4.299589888
Ga0401699_0000262_198_27458_PA14 domain,1064.539965,1048.393194,1517.478948,52.21711731,67.07360225
Ga0401699_0000290_1_26535_cytoskeletal protein binding,450.7741,334.3640846,326.0698567,6.437726792,5.159507865
Ga0401699_0000319_7729_9459_acetolactate synthase,37.35227948,46.37953431,61.80994536,173.1033204,149.6257281
Ga0401699_0000333_867_25181_,163.8406804,153.1603226,150.49378,15.02136251,26.65745731
Ga0401699_0000350_314_25021_protein tyrosine phosphatase activity,289.4801659,265.33408,247.2397814,24.32030121,37.83639101
Ga0401699_0000375_23479_24477_Fumarate reductase flavoprotein C-term,398.1413426,175.8107929,76.14268631,1.430605954,2.579753933
Ga0401699_0000380_14_24028_calcium ion binding,166.3874268,148.8459473,106.5997608,16.45196847,13.75868764
Ga0401699_0000400_10051_10470_Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs,34.80553315,47.45812813,88.68383464,376.2493658,279.4733427
Ga0401699_0000400_11730_12008_Protein S19 forms a complex with S13 that binds strongly to the 16S ribosomal RNA,27.16529416,29.12203317,46.58140809,179.5410472,164.2443337
Ga0401699_0000400_4722_5192_One of the primary rRNA binding proteins_ it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center_ probably blocks exit of the E-site tRNA,17.8272243,33.43640846,67.18472321,347.6372468,390.4027618
Ga0401699_0000400_5919_6251_This protein binds to 23S rRNA in the presence of protein L20,11.8848162,20.4932826,60.01835274,276.8222521,237.3373618
Ga0401699_0000400_6364_6783_Belongs to the universal ribosomal protein uS9 family,23.76963239,56.0868787,67.18472321,335.4770962,296.6717023
Ga0401699_0000400_6823_7740_DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,43.29468757,77.65875513,168.4097062,689.5520697,582.1644708
Ga0401699_0000400_7891_8286_Located on the platform of the 30S subunit_ it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome,27.16529416,34.51500228,72.55950107,312.5874009,300.9712922
Ga0401699_0000400_8528_8932_structural constituent of ribosome,30.56095593,64.71562927,124.515687,423.4593623,382.6635
Ga0401699_0000400_8980_9534_This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit_ where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit bridge B1b_ connecting the 2 subunits,42.44577213,77.65875513,150.49378,540.7690505,498.752427
Ga0401699_0000400_9563_9931_Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome,17.8272243,34.51500228,59.12255643,243.2030121,239.0571978
Ga0401699_0000417_235_23499_extracellular matrix structural constituent,297.9693204,328.9711155,266.0515039,55.07832922,61.05417641
Ga0401699_0000420_290_23452_protein tyrosine phosphatase activity,217.3223533,232.9762654,128.9946686,39.34166373,14.61860562
Ga0401699_0000432_16938_17624_Clp protease,84.04262882,184.4395434,165.7223173,695.2744935,607.1020922
Ga0401699_0000432_17765_18301_Seems to be required for the assembly of the photosystem I complex,54.33058833,136.9814153,104.8081682,452.0714814,391.2626798
Ga0401699_0000432_18397_19302_Component of the acetyl coenzyme A carboxylase ACC complex. Biotin carboxylase BC catalyzes the carboxylation of biotin on its carrier protein BCCP and then the CO2 group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA,115.4525002,160.7104794,156.7643542,530.0395059,577.8648809
Ga0401699_0000448_197_22789_Domain found in Notch and Lin-12,150.2580333,71.1871922,65.39313059,0.715302977,0.859917978
Ga0401699_0000451_2531_5971_DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,6.791323541,5.392969106,8.957963095,89.41287211,67.07360225
Ga0401699_0000457_17498_20746_Sigma factor PP2C-like phosphatases,21.22288607,43.14375285,18.8117225,92.27408402,65.3537663
Ga0401699_0000457_2474_3145_TIGR02453 family,37.35227948,56.0868787,63.60153797,226.7510437,203.8005607
Ga0401699_0000476_106_3894_,23.76963239,25.88625171,36.72764869,1.430605954,3.43967191
Ga0401699_0000476_3944_22351_,112.9057539,112.1737574,168.4097062,12.16015061,13.75868764
Ga0401699_0000500_2409_2789_Cupin,1.697830885,9.707344391,8.957963095,60.80075304,57.6145045
Ga0401699_0000518_2_21568_HECT E3 ubiquitin ligase. Source PGD,113.7546693,100.3092254,142.4316132,0,0.859917978
Ga0401699_0000521_26_21778_cytoskeletal protein binding,94.22961413,71.1871922,77.03848262,0.715302977,0.859917978
Ga0401699_0000534_2_21496_phosphatidylethanolamine binding,179.1211584,121.8811018,97.64179774,12.87545358,16.33844157
Ga0401699_0000540_115_10512_translation initiation factor activity,39.8990258,19.41468878,47.4772044,2.145908931,3.43967191
Ga0401699_0000560_11272_13419_OmpA family,24.61854784,65.7942231,25.08229667,97.99650783,104.0500753
Ga0401699_0000582_11_20518_Polycystic kidney and hepatic disease 1 autosomal,420.2131441,345.1500228,236.4902257,37.91105778,37.83639101
Ga0401699_0000589_17_20803_extracellular matrix structural constituent,153.6536951,97.07344391,92.26701988,6.437726792,17.19835955
Ga0401699_0000594_1139_20674_Transmembrane protein family 132,133.2797245,128.3526647,202.4499659,15.02136251,7.739261798
Ga0401699_0000678_159_19598_inner dynein arm assembly,53.48167289,33.43640846,78.83007524,5.007120838,0
Ga0401699_0000690_16281_16772_Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II,43.29468757,62.55844163,60.91414905,243.2030121,224.4385921
Ga0401699_0000690_2854_3267_Belongs to the universal ribosomal protein uS9 family,8.489154426,15.1003135,25.08229667,147.3524132,104.9099933
Ga0401699_0000690_5457_6719_protein transport,36.50336403,42.06515903,116.4535202,349.7831557,367.1849764
Ga0401699_0000690_7240_7782_This protein binds to the 23S rRNA_ and is important in its secondary structure. It is located near the subunit interface in the base of the L7 L12 stalk_ and near the tRNA binding site of the peptidyltransferase center,22.92071695,14.02171968,59.12255643,216.736802,193.481545
Ga0401699_0000733_13_18981_Peptidase inhibitor I9,162.1428495,101.3878192,77.03848262,8.583635723,6.879343821
Ga0401699_0000801_126_18653_semaphorin-plexin signaling pathway,134.1286399,119.7239142,119.1409092,1.430605954,7.739261798
Ga0401699_0000848_19_18303_,112.0568384,72.26578602,94.95440881,0,0
Ga0401699_0000879_11061_18158_motor activity,21.22288607,36.67218992,51.95618595,2.145908931,2.579753933
Ga0401699_0000887_31_17871_ig-like_ plexins_ transcription factors,204.5886217,161.7890732,151.3895763,25.75090717,12.89876966
Ga0401699_0000909_2820_17780_motor activity,68.76215085,74.42297367,126.3072796,6.437726792,10.31901573
Ga0401699_0000940_16881_17798_DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,17.8272243,14.02171968,27.76968559,126.6086269,89.43146967
Ga0401699_0000970_1_17592_Persistent plexus,147.711287,101.3878192,87.78803833,2.861211908,3.43967191
Ga0401699_0000979_2_17629_semaphorin-plexin signaling pathway,87.43829059,88.44469334,90.47542726,3.576514884,8.599179776
Ga0401699_0001063_2_16960_structural constituent of cuticle,123.9416546,99.23063155,87.78803833,17.88257442,14.61860562
Ga0401699_0001072_2_12127_Phage lysozyme,237.6963239,122.9596956,117.3493165,1.430605954,0
Ga0401699_0001095_3_16931_von Willebrand factor vWF type A domain,216.4734379,105.7021945,72.55950107,0,0.859917978
Ga0401699_0001104_16105_16833_Belongs to the universal ribosomal protein uL3 family,6.791323541,22.65047025,9.853759405,49.35590541,75.67278203
Ga0401699_0001105_332_16870_,98.47419134,70.10859838,80.62166786,13.59075656,5.159507865
Ga0401699_0001140_1387_1872_Ycf66 protein N-terminus,22.92071695,29.12203317,25.97809298,96.56590188,139.3067124
Ga0401699_0001140_15463_16515_Involved in chlorophyll biosynthesis. Catalyzes the insertion of magnesium ion into protoporphyrin IX to yield Mg- protoporphyrin IX,58.57516554,135.9028215,33.14446345,217.452105,254.5357214
