query_name	Preferred_name	KEGG_ko	eggNOG.free.text.desc.	2.5nM_DFB_A	2.5nM_DFB_B	2.5nM_Fe_A	2.5nM_Fe_B
Ga0401699_0000022_152_57865		ko:K12567	cytoskeletal protein binding	798.8294315	605.0911337	37.1957548	57.6145045
Ga0401699_0000023_156_57680		ko:K12567	cytoskeletal protein binding	1797.153992	1607.104794	174.5339264	285.4927686
Ga0401699_0000046_892_48153		ko:K12567	cytoskeletal protein binding	95.07852957	250.2337665	13.59075656	3.43967191
Ga0401699_0000066_3_41480		ko:K12567	cytoskeletal protein binding	1209.704506	1124.973356	102.2883257	101.4703214
Ga0401699_0000070_459_40640			semaphorin-plexin signaling pathway	304.7606439	253.469548	2.861211908	1.719835955
Ga0401699_0000079_22183_23112	rps13	"ko:K02952,ko:K03040"	rRNA binding	11.03590075	15.1003135	327.6087634	348.2667809
Ga0401699_0000079_30921_31220	rplW	ko:K02892	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome	21.22288607	14.02171968	265.3774044	271.7340809
Ga0401699_0000132_10320_10658	rpsM	ko:K02952	"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits"	26.31637872	59.32266017	5.722423815	5.159507865
Ga0401699_0000132_11313_13352	nad5	ko:K03883	"NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus"	286.9334196	684.9070765	65.0925709	50.73516068
Ga0401699_0000132_13565_15091		ko:K03934	Belongs to the complex I 75 kDa subunit family	271.6529416	366.7218992	42.20287564	33.53680113
Ga0401699_0000132_15195_15623		ko:K03934	Belongs to the complex I 75 kDa subunit family	48.38818023	50.6939096	7.153029769	2.579753933
Ga0401699_0000132_15632_16765	nuoH	ko:K00337	"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone"	129.0351473	228.6618901	23.60499824	21.49794944
Ga0401699_0000132_17658_18032	rplN	ko:K02874	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome	39.05011036	64.71562927	7.153029769	6.879343821
Ga0401699_0000132_2135_2890	rplB	ko:K02886	"One of the primary rRNA binding proteins. Required for association of the 30S and 50S subunits to form the 70S ribosome, for tRNA binding and peptide bond formation. It has been suggested to have peptidyltransferase activity"	47.53926479	56.0868787	6.437726792	2.579753933
Ga0401699_0000132_21516_23024	COX1	ko:K02256	electron transport coupled proton transport	52.63275744	91.68047481	12.87545358	8.599179776
Ga0401699_0000132_24171_25616	nad4	ko:K03881	NADH dehydrogenase (quinone) activity	105.2655149	198.4612631	21.45908931	15.4785236
Ga0401699_0000132_26096_27142		ko:K03879	ATP synthesis coupled electron transport	65.36648908	133.7456338	7.868332746	6.879343821
Ga0401699_0000132_27239_27631	rpsJ	ko:K02946	Involved in the binding of tRNA to the ribosomes	37.35227948	61.47984781	7.153029769	6.019425843
