gene,DFB_A,DFB_B,Fe_A,Fe_B
Ga0401699_0499782_11_517_,0,3.378743641,0,1.032280115
Ga0401699_0013198_369_917_3-to-5 exoribonuclease specific for small oligoribonucleotides,5.451361778,5.631239402,6.115063253,1.032280115
Ga0401699_0507514_3_899_von Willebrand factor_ type A,4.542801482,13.51497457,1.747160929,5.161400577
Ga0401699_0013476_2624_4312_Domain of Unknown Function DUF349,49.9708163,65.32237707,107.4503972,111.4862525
Ga0401699_0542781_1_1329_domain_ Protein,4.542801482,3.378743641,2.620741394,5.161400577
Ga0401699_0550100_72_1319_protein ubiquitination,19.07976622,19.14621397,27.08099441,11.35508127
Ga0401699_0015089_4578_5717_ATP binding to DnaK triggers the release of the substrate protein_ thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ_ DnaK and GrpE are required for fully efficient folding. Also involved_ together with DnaK and GrpE_ in the DNA replication of plasmids through activation of initiation proteins,0,6.757487283,0,8.258240924
Ga0401699_0016135_55_3873_Thrombospondin type 3 repeat,19.98832652,45.04991522,39.31112091,60.90452681
Ga0401699_0674354_3_1190_PQQ-like domain,2.725680889,4.504991522,0,0
Ga0401699_0688351_513_1118_May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO,0,15.76747033,0,3.096840346
Ga0401699_0820848_82_1038_Belongs to the peptidase S8 family,13.62840445,23.65120549,6.115063253,1.032280115
Ga0401699_0024675_2_5146_chlorophyll binding,40.88521334,21.39870973,40.18470138,21.67788242
Ga0401699_0897617_738_1028_Endonuclease that specifically degrades the RNA of RNA- DNA hybrids,0,0,0,1.032280115
Ga0401699_0041045_2530_4056_Endoribonuclease that initiates mRNA decay,38.15953245,36.03993217,13.97728744,18.58104208
Ga0401699_1493321_417_785_Endonuclease/Exonuclease/phosphatase family,0,0,0,5.161400577
Ga0401699_1618538_1_534_Catalyzes the conversion of 3-phosphate to a 2_3- cyclic phosphodiester at the end of RNA. The mechanism of action of the enzyme occurs in 3 steps A adenylation of the enzyme by ATP,0,0,0,1.032280115
Ga0401699_2204801_2_634_Psort location Cytoplasmic_ score 8.96,0.908560296,0,3.494321859,3.096840346
Ga0401699_2383820_132_611_Transcription factor that acts by binding directly to the RNA polymerase RNAP. Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression,1.817120593,3.378743641,3.494321859,6.193680693
Ga0401699_2500822_43_447_Belongs to the DEAD box helicase family,0,1.12624788,0,0
Ga0401699_0081646_1614_2639_RNA 3-terminal phosphate cyclase RTC_ insert domain,4.542801482,5.631239402,2.620741394,5.161400577
Ga0401699_0604872_40_423_PFAM SWIB MDM2 domain protein,225.3229535,155.4222075,415.8243012,345.8138387
Ga0401699_0000754_17582_17911_SWIB/MDM2 domain,60.87353986,41.67117158,82.99014415,66.06592739
Ga0401699_0660513_18_626_PFAM SWIB MDM2 domain,3.634241186,4.504991522,12.23012651,6.193680693
Ga0401699_0698634_1_483_SWI complex_ BAF60b domains,437.9260629,358.146826,872.7068843,623.4971897
Ga0401699_0854339_581_775_protein heterodimerization activity,0,0,0,4.129120462
Ga0401699_0972060_1_885_PFAM WD domain_ G-beta repeat,2.725680889,7.883735163,2.620741394,2.064560231
Ga0401699_1175778_36_431_COG5531 SWIB-domain-containing proteins implicated in chromatin remodeling,108.1186753,63.0698813,212.2800529,117.6799332
Ga0401699_0499747_61_600_acyl-CoA dehydrogenase,5.451361778,3.378743641,0.873580465,0
Ga0401699_0499784_691_1365_Sodium:dicarboxylate symporter family,1.817120593,6.757487283,0,4.129120462
Ga0401699_0013181_1458_2603_L-lactate dehydrogenase FMN-dependent and related alpha-hydroxy acid dehydrogenases,18.17120593,41.67117158,61.15063253,78.45328877
Ga0401699_0499822_26_1087_NADH flavin oxidoreductase NADH oxidase,13.62840445,7.883735163,14.8508679,16.51648185
Ga0401699_0499878_76_564_Isocitrate/isopropylmalate dehydrogenase,1.817120593,9.009983044,2.620741394,4.129120462
Ga0401699_0499886_956_1237_COG0644 Dehydrogenases flavoproteins,0.908560296,0,2.620741394,2.064560231
Ga0401699_0013183_4825_6060_dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex,10.90272356,36.03993217,23.58667255,14.45192162
Ga0401699_0499939_3_1382_Proton pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for proton movement across the membrane. Generates a proton motive force,10.90272356,27.02994913,22.71309208,16.51648185
Ga0401699_0499944_74_1381_Electron transfer flavoprotein-ubiquinone oxidoreductase,3.634241186,6.757487283,0.873580465,0
Ga0401699_0499960_2_1381_Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A acetyl-CoA and glyoxylate to form malate and CoA,3.634241186,2.252495761,4.367902324,9.290521039
Ga0401699_0499962_44_250_Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family,0,0,1.747160929,1.032280115
Ga0401699_0500050_2_268_NDH-1 shuttles electrons from NADH_ via FMN and iron- sulfur Fe-S centers_ to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation for every two electrons transferred_ four hydrogen ions are translocated across the cytoplasmic membrane_ and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone,1.817120593,3.378743641,0.873580465,2.064560231
Ga0401699_0500115_985_1383_Belongs to the isocitrate and isopropylmalate dehydrogenases family,7.268482371,6.757487283,8.735804647,14.45192162
Ga0401699_0500148_6_317_2Fe-2S iron-sulfur cluster binding domain,6.359922075,13.51497457,9.609385112,7.225960808
Ga0401699_0500198_1_207_4Fe-4S dicluster domain,4.542801482,4.504991522,4.367902324,2.064560231
Ga0401699_0500207_950_1201_Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1- 3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B,0,0,0.873580465,5.161400577
Ga0401699_0500216_619_1383_Ferredoxin--NADP reductase,1.817120593,3.378743641,0.873580465,0
Ga0401699_0500287_341_1375_Aldo/keto reductase family,0.908560296,1.12624788,0,4.129120462
Ga0401699_0500297_1_1047_Belongs to the heme-copper respiratory oxidase family,5.451361778,9.009983044,5.241482788,7.225960808
Ga0401699_0500297_1055_1378_Subunits I and II form the functional core of the enzyme complex. Electrons originating in cytochrome c are transferred via heme a and CuA to the binuclear center formed by heme a3 and CuB,0,0,0.873580465,1.032280115
